set	chromosome	valid	linkage.map.length	linkage.map.length.correctedCh	linkage.map.length.correctedHW	phys.map.length	nb.markers	density.markers.cM	density.markers.bp	marker.interval.cM	largest.gap.cM	marker.interval.bp	chrwide.rate	map.coverage	rejected.rate	mean.recrate	median.recrate	sd.recrate	max	cv.recrate	gini	span	species	centromeric_index	peripherybias_ratio	peripherybias_mode	brokenstick_pvariance	genecount	centromere_position_estimated	centromeric_index_position_oriented
Aegilops_speltoides_Zhang2019	2S	TRUE	185.6661	186.109746594982	186.00142786141	801222222	838	4.51347876645225	1.04590209431311e-06	0.201656523297491	8.56610000000001	956242.682198327	0.232147115686726	0.999879872578524	0.00356718192627824	0.188661098406151	0.050738046572484	0.317463340754408	1.53143871374559	1.68271754715946	0.706553341311178	0.2	Aegilops speltoides	0.45	5.6366189179977	2	0.0409659410006505	6505	384.424803484848	360.5499999
Aegilops_speltoides_Zhang2020	7S	TRUE	171.1102	171.746297397769	171.734720446097	763311995	539	3.15001677281658	7.06133276472355e-07	0.318048698884758	8.80507	1418001.23977695	0.22498627241682	0.998163756821944	0.00369685767097967	0.210432178910042	0.0362855206364608	0.302007179011545	1.27021639268245	1.4351758394359	0.688379086792111	0.2	Aegilops speltoides	0.5	5.87686903079334	1	0.0334710825519979	6082	535.860440934343	381.6559975
Arabidopsis_thaliana_Serin2017	1	TRUE	117.87	118.730364963504	118.730364963504	30450000	275	2.33307881564435	9.0311986863711e-06	0.430182481751825	2.88	110948.905109489	3.89919096760275	0.990591649483969	0	3.92167518928025	4.03285523031311	1.30495919300579	6.24888992594228	0.33275555216119	0.184148452594968	0.2	Arabidopsis thaliana	0.49	1.1036814857347	16	0.00133283242393712	7156	14.6098484848485	14.9205
Arabidopsis_thaliana_Serin2017	2	TRUE	76.29	77.1875294117647	77.1875294117647	19650000	171	2.24144710971294	8.70229007633588e-06	0.448764705882353	3.23	115294.117647059	3.92811854512798	0.988699340808405	0	3.95545520790355	3.58417117291197	2.29116458904133	10.7190270963835	0.579241697507601	0.322843319507342	0.2	Arabidopsis thaliana	0.23	1.50591531646977	3	0.00515387675615326	4317	4.06893939393939	4.5195
Arabidopsis_thaliana_Serin2017	3	TRUE	82.61	83.4120388349515	83.4120388349515	23450000	207	2.50574990921196	8.8272921108742e-06	0.401019417475728	2.72	113592.233009709	3.55701658144782	0.993339094338228	0	3.6032845124086	3.83567152738481	2.27892094339139	7.78188167360866	0.632456564432671	0.362678641904644	0.2	Arabidopsis thaliana	0.39	1.65200773018249	9	0.00466690181795353	5460	13.6199494949495	14.3045
Arabidopsis_thaliana_Serin2017	4	TRUE	92.12	93.2572839506173	93.2572839506173	18550000	163	1.76943117672601	8.78706199460916e-06	0.568641975308642	4.81	114197.530864198	5.02734684369905	0.970953647224181	0	5.04324126818062	4.86207706374558	2.31976997657306	12.1192765336047	0.459976006146923	0.256935612837331	0.2	Arabidopsis thaliana	0.24	2.13473487878273	1	0.00194227405298084	4180	4.02853535353535	4.452
Arabidopsis_thaliana_Serin2017	5	TRUE	102.8128307	103.662523515702	103.662523515702	26950000	243	2.36351823352725	9.01669758812616e-06	0.42484640785124	2.34046170000001	111157.024793388	3.84647582618562	0.991147332624876	0	3.90014265438326	3.77470303532869	1.42081486883275	6.71652292066713	0.364298179512982	0.202981894793709	0.2	Arabidopsis thaliana	0.45	1.61221001059119	1	0.00176052172581806	6332	11.2972222222222	12.1275
Arachis_duranensis_Bertioli2016	A1	TRUE	85	87.741935483871	87.741935483871	106009002	63	0.741176470588235	5.94289152915523e-07	1.37096774193548	6.09999999999999	1700369.83870968	0.827683817680606	0.772897300061508	0	0.856940738814735	0.310999432191717	1.27167010889977	6.09405492670371	1.48396505300782	0.699130751721441	0.3	Arachis duranensis	NA	3.81108962463823	1	0.0404981200421446	4163	75.491259	NA
Arachis_duranensis_Bertioli2016	A2	TRUE	78	82	82	93216535	40	0.512820512820513	4.29108419445112e-07	2	14.6	2389069.79487179	0.87967225986248	0.641433458626809	0	0.818121641691156	0.0308259300094779	1.42107570855842	6.68620098711976	1.73699806500765	0.767485964718489	0.35	Arachis duranensis	NA	4.31394643942315	3	0.0517860125689692	3828	37.1924558838384	NA
Arachis_duranensis_Bertioli2016	A3	TRUE	127	129.85393258427	129.85393258427	134828274	90	0.708661417322835	6.67515776401617e-07	1.42696629213483	12.6	1513582.60674157	0.963106095864356	0.757638007729676	0	0.967742467788811	0.229310917236426	1.72393219435205	9.38745765240995	1.78139562097657	0.741584820234408	0.2	Arachis duranensis	NA	6.76618248663962	1	0.031846244366287	5847	71.4998422727273	NA
